Index,id,member_id,loan_amnt,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,addr_state,int_rate
1,54734,80364,25000,B,B4,RENT,85000,Verified,01-08-2009,Fully Paid,CA,11.89%
2,55742,114426,7000,B,B5,RENT,65000,Not Verified,01-05-2008,Fully Paid,NY,10.71%
3,57245,138150,1200,C,C2,OWN,54000,Not Verified,01-03-2010,Fully Paid,TX,13.11%
4,57416,139635,10800,C,C3,RENT,32000,Not Verified,01-11-2009,Fully Paid,CT,13.57%
5,58915,153417,7500,B,B3,RENT,85000,Not Verified,01-04-2008,Fully Paid,CA,10.08%
6,59006,154254,3000,C,C5,MORTGAGE,80800,Not Verified,01-09-2009,Fully Paid,TX,14.26%
7,61390,182594,4000,A,A5,MORTGAGE,148000,Not Verified,01-02-2010,Fully Paid,TX,7.88%
8,61419,182917,5600,D,D2,RENT,45000,Not Verified,01-02-2010,Charged Off,MD,14.96%
9,62102,191024,3200,B,B1,RENT,54000,Not Verified,01-04-2010,Fully Paid,MA,9.88%
10,65426,232106,4000,B,B1,MORTGAGE,60000,Not Verified,01-08-2009,Charged Off,MI,11.14%
11,65640,234569,5000,C,C2,MORTGAGE,90000,Not Verified,01-05-2008,Fully Paid,CA,11.34%
12,66431,243540,2525,B,B5,RENT,27000,Not Verified,01-02-2009,Fully Paid,KY,12.21%
13,66749,246329,10625,C,C4,MORTGAGE,34000,Not Verified,01-12-2008,Fully Paid,MS,13.47%
14,66943,247802,2800,B,B4,RENT,24000,Not Verified,01-08-2010,Fully Paid,CA,11.49%
15,66964,247990,7500,D,D3,MORTGAGE,138000,Not Verified,01-06-2008,Fully Paid,KS,13.24%
16,67503,252415,10000,A,A4,MORTGAGE,56000,Not Verified,01-10-2009,Fully Paid,MI,8.59%
17,68163,258249,3000,A,A3,MORTGAGE,100000,Not Verified,01-02-2010,Fully Paid,GA,7.14%
18,68381,260179,6625,A,A5,RENT,13200,Not Verified,01-03-2008,Fully Paid,CA,8.63%
19,68817,264119,10000,C,C1,MORTGAGE,46116,Not Verified,01-03-2008,Fully Paid,NC,11.03%
20,68926,264924,2300,D,D2,RENT,37152,Verified,01-08-2008,Fully Paid,NJ,13.17%
21,69001,265533,15000,A,A5,MORTGAGE,110000,Not Verified,01-09-2009,Fully Paid,NY,8.94%
22,69124,266619,18000,B,B4,MORTGAGE,36000,Not Verified,01-03-2008,Fully Paid,WA,10.39%
23,69168,266943,5000,E,E4,RENT,60000,Verified,01-04-2008,Fully Paid,KY,15.13%
24,69251,267771,6000,A,A3,MORTGAGE,75000,Not Verified,01-05-2008,Fully Paid,OH,8.00%
25,69550,270212,11200,D,D3,RENT,46000,Not Verified,01-05-2010,Fully Paid,AZ,15.33%
26,69828,272798,15000,A,A5,OWN,50000,Not Verified,01-03-2008,Fully Paid,MI,8.63%
